nom_de_commune,code_departement,code_commune
MORET-LOING-ET-ORVANNE,77,316
BRIE COMTE ROBERT,77,53
LIEUSAINT,77,251
COMBS LA VILLE,77,122
COMBS LA VILLE,77,122
BRIE COMTE ROBERT,77,53
SAVIGNY-LE-TEMPLE,77,445
PONTAULT COMBAULT,77,373
BRIE COMTE ROBERT,77,53
MELUN,77,288
ROISSY-EN-BRIE,77,390
MELUN,77,288
AVON,77,14
MOISSY-CRAMAYEL,77,296
DAMMARIE LES LYS,77,152
DAMMARIE LES LYS,77,152
FONTAINEBLEAU,77,186
MELUN,77,288
DAMMARIE LES LYS,77,152
DAMMARIE LES LYS,77,152
DAMMARIE LES LYS,77,152
OZOIR LA FERRIERE,77,350
MELUN,77,288
LE MEE SUR SEINE,77,285
CHAUMES-EN-BRIE,77,107
AVON,77,14
COMBS LA VILLE,77,122
LIEUSAINT,77,251
CESSON,77,67
CESSON,77,67
SAINT-FARGEAU-PONTHIERRY,77,407
ACHERES-LA-FORET,77,1
MELUN,77,288
CHAMPDEUIL,77,81
SAVIGNY-LE-TEMPLE,77,445
PONTAULT COMBAULT,77,373
COMBS LA VILLE,77,122
OZOIR LA FERRIERE,77,350
OZOIR LA FERRIERE,77,350
SAVIGNY-LE-TEMPLE,77,445
NEMOURS,77,333
PONTAULT COMBAULT,77,373
MELUN,77,288
BRIE COMTE ROBERT,77,53
COMBS LA VILLE,77,122
MELUN,77,288
COMBS LA VILLE,77,122
CHATELET-EN-BRIE (LE),77,100
CHATELET-EN-BRIE (LE),77,100
MELUN,77,288
LESIGNY,77,249
PONTAULT COMBAULT,77,373
FONTAINEBLEAU,77,186
NEMOURS,77,333
OZOIR LA FERRIERE,77,350
REAU,77,384
FONTAINEBLEAU,77,186
LESIGNY,77,249
ROISSY-EN-BRIE,77,390
LESIGNY,77,249
PONTAULT COMBAULT,77,373
PONTAULT COMBAULT,77,373
PONTAULT COMBAULT,77,373
ROISSY-EN-BRIE,77,390
AVON,77,14
BRIE COMTE ROBERT,77,53
GUIGNES,77,222
DAMMARIE LES LYS,77,152
SAVIGNY-LE-TEMPLE,77,445
MELUN,77,288
SAVIGNY-LE-TEMPLE,77,445
REAU,77,384
SAVIGNY-LE-TEMPLE,77,445
BRIE COMTE ROBERT,77,53
MONTEREAU FAULT YONNE,77,305
LESIGNY,77,249
COMBS LA VILLE,77,122
COMBS LA VILLE,77,122
SAVIGNY-LE-TEMPLE,77,445
VAUX-LE-PENIL,77,487
CESSON,77,67
SAVIGNY-LE-TEMPLE,77,445
FONTAINEBLEAU,77,186
DAMMARIE LES LYS,77,152
MELUN,77,288
PONTAULT COMBAULT,77,373
ROISSY-EN-BRIE,77,390
SAINT-FARGEAU-PONTHIERRY,77,407
SOUPPES-SUR-LOING,77,458
BRIE COMTE ROBERT,77,53
FONTAINEBLEAU,77,186
MONTEREAU FAULT YONNE,77,305
LESIGNY,77,249
PRINGY,77,378
BRIE COMTE ROBERT,77,53
CHEVRY-COSSIGNY,77,114
LESIGNY,77,249
MELUN,77,288
PONTAULT COMBAULT,77,373
PONTCARRE,77,374
ROISSY-EN-BRIE,77,390
AVON,77,14
PONTAULT COMBAULT,77,373
GUIGNES,77,222
ROISSY-EN-BRIE,77,390
GRETZ-ARMAINVILLIERS,77,215
CHEVRY-COSSIGNY,77,114
ROISSY-EN-BRIE,77,390
LIEUSAINT,77,251
PONTAULT COMBAULT,77,373
SAINT-MAMMES,77,419
LIEUSAINT,77,251
BRIE COMTE ROBERT,77,53
CHEVRY-COSSIGNY,77,114
MELUN,77,288
COMBS LA VILLE,77,122
SAVIGNY-LE-TEMPLE,77,445
BRIE COMTE ROBERT,77,53
PRINGY,77,378
MELUN,77,288
SAVIGNY-LE-TEMPLE,77,445
GRETZ-ARMAINVILLIERS,77,215
SAINT-SAUVEUR-SUR-ECOLE,77,435
PONTCARRE,77,374
MONTEREAU FAULT YONNE,77,305
MORET-LOING-ET-ORVANNE,77,316
GUIGNES,77,222
GRETZ-ARMAINVILLIERS,77,215
MONTEREAU FAULT YONNE,77,305
LE MEE SUR SEINE,77,285
AVON,77,14
MONTIGNY-SUR-LOING,77,312
AVON,77,14
LESIGNY,77,249
COUBERT,77,127
SAVIGNY-LE-TEMPLE,77,445
LIEUSAINT,77,251
LE MEE SUR SEINE,77,285
LE MEE SUR SEINE,77,285
LESIGNY,77,249
PRINGY,77,378
SIVRY-COURTRY,77,453
GRETZ-ARMAINVILLIERS,77,215
BRIE COMTE ROBERT,77,53
DAMMARIE LES LYS,77,152
MELUN,77,288
AVON,77,14
FONTAINEBLEAU,77,186
LIEUSAINT,77,251
MELUN,77,288
LE MEE SUR SEINE,77,285
LIEUSAINT,77,251
MOISSY-CRAMAYEL,77,296
DAMMARIE LES LYS,77,152
MELUN,77,288
BOIS LE ROI,77,37
PONTAULT COMBAULT,77,373
SAINT-MARTIN-EN-BIERE,77,425
FONTAINEBLEAU,77,186
MELUN,77,288
MELUN,77,288
CHAMPAGNE SUR SEINE,77,79
SAVIGNY-LE-TEMPLE,77,445
REAU,77,384
SAVIGNY-LE-TEMPLE,77,445
SAMOIS SUR SEINE,77,441
DAMMARIE LES LYS,77,152
LE MEE SUR SEINE,77,285
DAMMARIE LES LYS,77,152
AVON,77,14
AVON,77,14
MELUN,77,288
COMBS LA VILLE,77,122
CESSON,77,67
AVON,77,14
SAINT-FARGEAU-PONTHIERRY,77,407
MELUN,77,288
SAVIGNY-LE-TEMPLE,77,445
